Neighborhood,Total,AVG,MEDIAN
San Dimas,4640440.00,82865.00,82624.50
San Fernando,1795066.00,51287.60,54441.00
San Gabriel,3915756.00,62154.86,52788.00
San Marino,1959510.00,139965.00,138142.50
San Pasqual,1183653.00,84546.64,80542.50
San Pedro,9620239.00,61668.20,65577.00
Santa Clarita,25607460.00,89224.60,89167.00
Santa Fe Springs,1110647.00,52887.95,51866.00
Santa Monica,10538460.00,79236.54,72926.00
Sawtelle,4779399.00,68277.13,67596.50
Sepulveda Basin,1053028.00,175504.67,198750.00
Shadow Hills,2109003.00,75321.54,74343.50
Sherman Oaks,10016415.00,79495.36,70546.50
Sierra Madre,2355701.00,112176.24,110463.00
Signal Hill,392780.00,56111.43,56663.00
Silver Lake,4153057.00,65921.54,62118.00
South El Monte,1899979.00,45237.60,42173.50
South Gate,6185830.00,42080.48,41906.00
South Park,1602022.00,28607.54,28854.00
South Pasadena,3090123.00,88289.23,93807.00
South San Gabriel,991913.00,47233.95,50210.00
South San Jose Hills,1917484.00,54785.26,54914.00
South Whittier,5903389.00,64872.41,64662.00
Southeast Antelope Valley,2072126.00,74004.50,75656.50
Stevenson Ranch,1022242.00,146034.57,148929.00
Studio City,5453990.00,86571.27,75536.00
Sun Valley,6813917.00,48670.84,47502.00
Sunland,1431080.00,68146.67,68048.00
Sylmar,7784595.00,61782.50,61299.50
Tarzana,6104608.00,87208.69,81047.00
Temple City,3088859.00,63037.94,64808.00
Toluca Lake,1537809.00,73229.00,76548.00
Topanga,1804291.00,128877.93,127827.50
Torrance,16648673.00,79279.40,80521.00
Tujunga,2854973.00,63443.84,60931.00
Tujunga Canyons,1358612.00,97043.71,93926.00
Unincorporated Catalina Island,381895.00,76379.00,65000.00
Unincorporated Santa Monica Mountains,5910062.00,120613.51,118347.00
Unincorporated Santa Susana Mountains,2736511.00,97732.54,102641.00
University Park,829887.00,16936.47,16250.00
Valinda,1403477.00,66832.24,70528.00
Valley Glen,4783837.00,45560.35,43672.00
Valley Village,1954525.00,55843.57,51212.00
Van Nuys,6986468.00,38599.27,36977.00
Venice,6587788.00,85555.69,81603.00
Vermont Knolls,1226767.00,29208.74,25511.00
Vermont Square,1937516.00,30754.22,29865.00
Vermont Vista,1285852.00,30615.52,30703.00
Vermont-Slauson,1700493.00,30365.95,29812.50
Vernon,235043.00,39173.83,35396.00
Veterans Administration,193385.00,32230.83,27135.50
View Park-Windsor Hills,1129255.00,80661.07,82721.00
Vincent,1865708.00,66632.43,68036.50
Walnut,5319792.00,108567.18,109049.00
Walnut Park,1160927.00,41461.68,40231.00
Watts,1716799.00,30657.13,32741.50
West Adams,1521115.00,36217.02,36283.00
West Carson,1791860.00,63995.00,64153.00
West Compton,609511.00,43536.50,45203.00
West Covina,12032442.00,74735.66,73904.00
West Hills,7117039.00,92429.08,87390.00
West Hollywood,2702559.00,55154.27,58403.00
West Los Angeles,2444516.00,87304.14,86664.50
West Puente Valley,2146374.00,61324.97,62109.00
West Whittier-Los Nietos,2380982.00,56690.05,56563.00
Westchester,6491623.00,84306.79,83929.00
Westlake,6281004.00,29909.54,28457.00
Westlake Village,1612084.00,115148.86,116924.50
Westmont,1533115.00,31288.06,28735.00
Westwood,6398404.00,76171.48,82184.00
Whittier,8696173.00,69017.25,71831.00
Whittier Narrows,443784.00,63397.71,60417.00
Willowbrook,1644773.00,39161.26,40377.00
Wilmington,4697390.00,42703.55,39250.00
Windsor Square,755070.00,53933.57,52140.00
Winnetka,4344565.00,56422.92,58649.00
Woodland Hills,9290447.00,96775.49,95124.50
